                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0997,                0.40188,                0.85365,                  2.224,              0.0033134,              0.0033134,              0.0033134
                      2,                 1.6682,                0.35812,                0.82212,                  2.234,              0.0066035,              0.0066035,              0.0066035
                      3,                  1.631,                0.32141,                0.75529,                 2.2342,              0.0098503,              0.0098503,              0.0098503
                      4,                  1.587,                0.35012,                0.79106,                 2.2096,               0.009805,               0.009805,               0.009805
                      5,                 1.5232,                0.46918,                0.88282,                  2.166,               0.009805,               0.009805,               0.009805
                      6,                 1.4706,                0.51576,                0.91247,                 2.1196,                0.00974,                0.00974,                0.00974
                      7,                 1.4443,                0.51341,                0.90259,                 2.1319,               0.009675,               0.009675,               0.009675
                      8,                 1.4081,                0.49835,                0.89412,                 2.1305,                0.00961,                0.00961,                0.00961
                      9,                 1.3949,                0.53271,                0.91812,                  2.121,               0.009545,               0.009545,               0.009545
                     10,                 1.3665,                0.43953,                0.87012,                 2.1535,                0.00948,                0.00948,                0.00948
                     11,                 1.3453,                0.45835,                0.89553,                 2.1461,               0.009415,               0.009415,               0.009415
                     12,                 1.3333,                0.53271,                0.93459,                 2.0987,                0.00935,                0.00935,                0.00935
                     13,                 1.3121,                0.54259,                0.93647,                 2.0713,               0.009285,               0.009285,               0.009285
                     14,                 1.3044,                0.53082,                0.92282,                 2.1058,                0.00922,                0.00922,                0.00922
                     15,                 1.2777,                0.55953,                0.93459,                 2.0988,               0.009155,               0.009155,               0.009155
                     16,                 1.2685,                0.53694,                0.92094,                 2.0857,                0.00909,                0.00909,                0.00909
                     17,                 1.2612,                0.55153,                0.94494,                 2.0804,               0.009025,               0.009025,               0.009025
                     18,                 1.2487,                0.56047,                0.93035,                 2.0661,                0.00896,                0.00896,                0.00896
                     19,                 1.2246,                   0.56,                0.93506,                 2.0694,               0.008895,               0.008895,               0.008895
                     20,                 1.2146,                0.53741,                0.93647,                 2.0778,                0.00883,                0.00883,                0.00883
                     21,                 1.2047,                0.54824,                0.93976,                 2.0611,               0.008765,               0.008765,               0.008765
                     22,                 1.1864,                0.55812,                0.93788,                 2.0462,                 0.0087,                 0.0087,                 0.0087
                     23,                 1.1753,                0.51529,                0.92753,                  2.085,               0.008635,               0.008635,               0.008635
                     24,                 1.1583,                0.57271,                0.94776,                 2.0353,                0.00857,                0.00857,                0.00857
                     25,                 1.1583,                0.57129,                0.95718,                 2.0595,               0.008505,               0.008505,               0.008505
                     26,                 1.1338,                0.55765,                0.95435,                  2.051,                0.00844,                0.00844,                0.00844
                     27,                 1.1161,                0.59106,                0.96141,                 2.0288,               0.008375,               0.008375,               0.008375
                     28,                 1.0891,                0.61176,                0.96141,                 2.0207,                0.00831,                0.00831,                0.00831
                     29,                 1.0835,                0.61082,                0.96565,                 2.0086,               0.008245,               0.008245,               0.008245
                     30,                 1.0726,                0.59812,                0.95624,                 2.0072,                0.00818,                0.00818,                0.00818
                     31,                 1.0351,                  0.608,                0.96659,                 2.0116,               0.008115,               0.008115,               0.008115
                     32,                 1.0154,                0.61459,                0.96235,                 2.0046,                0.00805,                0.00805,                0.00805
                     33,                0.99992,                0.59906,                0.96047,                 2.0178,               0.007985,               0.007985,               0.007985
                     34,                0.94392,                0.61929,                0.96706,                 1.9766,                0.00792,                0.00792,                0.00792
                     35,                0.93762,                0.61271,                0.95812,                 1.9917,               0.007855,               0.007855,               0.007855
                     36,                0.90568,                0.63059,                0.96753,                 1.9697,                0.00779,                0.00779,                0.00779
                     37,                0.87139,                0.63718,                0.96941,                 1.9659,               0.007725,               0.007725,               0.007725
                     38,                0.83781,                0.63576,                0.96753,                 1.9672,                0.00766,                0.00766,                0.00766
                     39,                0.78807,                0.63294,                0.96565,                 1.9584,               0.007595,               0.007595,               0.007595
                     40,                0.75115,                0.61318,                0.96424,                 1.9824,                0.00753,                0.00753,                0.00753
                     41,                0.74217,                0.65035,                  0.968,                 1.9446,               0.007465,               0.007465,               0.007465
                     42,                 0.6767,                0.64988,                0.96518,                 1.9387,                 0.0074,                 0.0074,                 0.0074
                     43,                0.65262,                0.64612,                0.96282,                 1.9351,               0.007335,               0.007335,               0.007335
                     44,                 0.6192,                0.65365,                0.96188,                 1.9222,                0.00727,                0.00727,                0.00727
                     45,                0.58573,                0.65882,                0.96659,                 1.9193,               0.007205,               0.007205,               0.007205
                     46,                0.55098,                0.64471,                0.96612,                 1.9196,                0.00714,                0.00714,                0.00714
                     47,                0.48201,                0.65459,                0.96141,                 1.9054,               0.007075,               0.007075,               0.007075
                     48,                0.50509,                0.65553,                0.96376,                  1.902,                0.00701,                0.00701,                0.00701
                     49,                0.45683,                0.66541,                0.96141,                 1.8999,               0.006945,               0.006945,               0.006945
                     50,                0.47234,                0.65647,                0.96282,                  1.902,                0.00688,                0.00688,                0.00688
                     51,                0.42971,                0.66024,                0.95718,                 1.8999,               0.006815,               0.006815,               0.006815
                     52,                0.37354,                0.65976,                0.96141,                 1.8935,                0.00675,                0.00675,                0.00675
                     53,                0.35284,                0.65224,                0.96235,                  1.898,               0.006685,               0.006685,               0.006685
                     54,                0.36094,                0.66024,                0.95624,                 1.8936,                0.00662,                0.00662,                0.00662
                     55,                0.35428,                0.65553,                0.95529,                 1.8888,               0.006555,               0.006555,               0.006555
                     56,                 0.3452,                0.65506,                0.95576,                 1.8938,                0.00649,                0.00649,                0.00649
                     57,                0.32213,                0.65271,                0.95482,                 1.8928,               0.006425,               0.006425,               0.006425
                     58,                0.29527,                0.65082,                0.95482,                 1.8955,                0.00636,                0.00636,                0.00636
                     59,                0.26032,                0.65976,                0.95671,                 1.8845,               0.006295,               0.006295,               0.006295
                     60,                0.24683,                0.65176,                0.95624,                 1.8873,                0.00623,                0.00623,                0.00623
                     61,                0.22792,                0.65082,                0.95435,                 1.8912,               0.006165,               0.006165,               0.006165
                     62,                0.24694,                0.63765,                0.95388,                 1.8924,                 0.0061,                 0.0061,                 0.0061
                     63,                  0.246,                0.64329,                0.94824,                  1.892,               0.006035,               0.006035,               0.006035
                     64,                0.23755,                0.64188,                0.94776,                 1.8944,                0.00597,                0.00597,                0.00597
                     65,                0.22732,                0.64188,                0.94729,                 1.8935,               0.005905,               0.005905,               0.005905
                     66,                 0.2112,                0.63718,                0.95388,                 1.8951,                0.00584,                0.00584,                0.00584
                     67,                0.18114,                0.63435,                0.95482,                 1.8923,               0.005775,               0.005775,               0.005775
                     68,                0.16177,                0.63388,                0.94776,                 1.8937,                0.00571,                0.00571,                0.00571
                     69,                0.16511,                0.63765,                0.94635,                 1.8918,               0.005645,               0.005645,               0.005645
                     70,                0.15362,                0.63576,                0.94588,                 1.8928,                0.00558,                0.00558,                0.00558
                     71,                0.14802,                0.63435,                0.94729,                 1.8946,               0.005515,               0.005515,               0.005515
                     72,                0.14609,                0.62447,                0.94682,                 1.8971,                0.00545,                0.00545,                0.00545
                     73,                0.14355,                0.62494,                0.94541,                 1.8965,               0.005385,               0.005385,               0.005385
                     74,                0.15265,                0.61929,                0.94588,                 1.8996,                0.00532,                0.00532,                0.00532
                     75,                0.14876,                0.62071,                0.94729,                 1.8987,               0.005255,               0.005255,               0.005255
                     76,                0.13716,                0.62212,                0.94682,                 1.8975,                0.00519,                0.00519,                0.00519
                     77,                0.15754,                0.61694,                0.94776,                 1.9018,               0.005125,               0.005125,               0.005125
                     78,                0.14796,                0.61412,                0.94729,                 1.8988,                0.00506,                0.00506,                0.00506
                     79,                0.14005,                0.61647,                0.94918,                 1.9003,               0.004995,               0.004995,               0.004995
                     80,                0.13894,                0.61271,                0.95106,                 1.9004,                0.00493,                0.00493,                0.00493
                     81,                0.13145,                0.61271,                0.94918,                 1.9031,               0.004865,               0.004865,               0.004865
                     82,                0.12274,                0.61647,                0.94588,                  1.903,                 0.0048,                 0.0048,                 0.0048
                     83,                 0.1236,                0.61224,                0.94541,                 1.9052,               0.004735,               0.004735,               0.004735
                     84,                0.13019,                0.61318,                0.94494,                 1.9044,                0.00467,                0.00467,                0.00467
                     85,                0.12307,                0.61318,                0.95012,                  1.903,               0.004605,               0.004605,               0.004605
                     86,                0.12537,                0.61318,                0.94824,                 1.9053,                0.00454,                0.00454,                0.00454
                     87,                0.12013,                0.61412,                0.94494,                 1.9053,               0.004475,               0.004475,               0.004475
                     88,                0.11512,                0.61365,                0.94635,                 1.9064,                0.00441,                0.00441,                0.00441
                     89,                0.11392,                0.61365,                0.94588,                 1.9073,               0.004345,               0.004345,               0.004345
                     90,                0.11089,                0.61459,                0.94541,                 1.9072,                0.00428,                0.00428,                0.00428
                     91,                0.11614,                0.61318,                  0.944,                 1.9072,               0.004215,               0.004215,               0.004215
                     92,                0.11457,                0.61271,                0.94353,                 1.9084,                0.00415,                0.00415,                0.00415
                     93,                0.11634,                0.61318,                0.94306,                 1.9117,               0.004085,               0.004085,               0.004085
                     94,                 0.1107,                0.61506,                0.94306,                 1.9116,                0.00402,                0.00402,                0.00402
                     95,                0.10539,                0.61506,                0.94212,                 1.9092,               0.003955,               0.003955,               0.003955
                     96,                0.10736,                0.61459,                0.94165,                 1.9101,                0.00389,                0.00389,                0.00389
                     97,                0.10499,                0.61271,                0.94212,                 1.9112,               0.003825,               0.003825,               0.003825
                     98,                0.10297,                0.61318,                0.94118,                 1.9102,                0.00376,                0.00376,                0.00376
                     99,                0.10521,                0.61318,                0.94259,                 1.9114,               0.003695,               0.003695,               0.003695
